observation_id,species_name,common_name,date_observed,location,image_url,notes,observed_count
277670553,Jewel Five-Ring,Jewel Five-ring,2025-04-21,"33.7465597258,73.0859634878",https://static.inaturalist.org/photos/498577778/square.jpg,,4
277538034,Hübner's Wasp Moth,Hübner's Wasp Moth,2025-04-10,"33.7686873832,73.1211875752",https://inaturalist-open-data.s3.amazonaws.com/photos/498344934/square.jpeg,My first observation ,1
277470509,Tropical Fritillary,Tropical Fritillary,2025-04-23,"33.747320644,73.0864432402",https://static.inaturalist.org/photos/498221156/square.jpg,,3
277467386,Zebra Blue,Zebra Blue,2025-04-23,"33.7508240123,73.0971649048",https://static.inaturalist.org/photos/498215753/square.jpg,,8
277464545,Cream-spotted Sailor,Cream-spotted Sailor,2025-04-25,"33.7461163571,73.0860351724",https://static.inaturalist.org/photos/498210964/square.jpg,,7
277462649,Zebra Blue,Zebra Blue,2025-04-25,"33.746511783,73.0860708686",https://static.inaturalist.org/photos/498207573/square.jpg,,8
276654756,Erebus albicinctus,No common name,2025-04-28,"33.7385489517,73.0483428016",https://static.inaturalist.org/photos/496796218/square.jpeg,,1
275863482,Black Stork,Black Stork,2025-04-23,"33.742352786,73.0019843656",https://static.inaturalist.org/photos/495553143/square.jpg,,1
274954612,Snake,No common name,2025-04-27,"33.7872621393,73.1623116469",https://inaturalist-open-data.s3.amazonaws.com/photos/494175913/square.jpg,"Woodland area 
Shahdara valley",1
274892618,Plain Tiger Butterfly,Plain Tiger Butterfly,2025-04-25,"33.7462860737,73.086083696",https://static.inaturalist.org/photos/494077132/square.jpg,,3
274630687,Blue-throated Barbet,Blue-throated Barbet,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493657759/square.jpeg,,5
274630686,Red-billed Leiothrix,Red-billed Leiothrix,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493657758/square.jpeg,,2
274630685,Rusty-cheeked Scimitar-Babbler,Rusty-cheeked Scimitar-Babbler,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493657781/square.jpeg,,5
274630670,Indian Crested Porcupine,Indian Crested Porcupine,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493657471/square.jpeg,,10
274630668,Red Junglefowl,Red Junglefowl,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493654971/square.jpeg,,1
274630657,Indus Valley Toad,Indus Valley Toad,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493654851/square.jpeg,,5
274630654,Cluster Fig,Cluster Fig,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493654686/square.jpeg,,3
274630650,White-spotted Thistle,White-spotted Thistle,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493654376/square.jpeg,,1
274630635,Asian Palm Civet,Asian Palm Civet,2025-04-13,"33.7371885349,73.0343884714",https://inaturalist-open-data.s3.amazonaws.com/photos/493653928/square.jpeg,,6
274609284,Rhesus Macaque,Rhesus Macaque,2025-04-27,"33.7297529091,73.0523292348",https://inaturalist-open-data.s3.amazonaws.com/photos/493641104/square.jpeg,,25
274551909,legumes,legumes,2025-04-27,"33.7997812612,73.0821864984",https://static.inaturalist.org/photos/493553257/square.jpeg,,4
274394040,Rhesus Macaque,Rhesus Macaque,2025-04-27,"33.7300455,73.053531",https://inaturalist-open-data.s3.amazonaws.com/photos/493310890/square.jpeg,,25
274393800,Anthomyia,No common name,2025-04-27,"33.7345157,73.0509073997",https://inaturalist-open-data.s3.amazonaws.com/photos/493310541/square.jpeg,,2
274338458,Pioneer White,Pioneer White,2025-04-19,"33.7795946,73.1226202",https://inaturalist-open-data.s3.amazonaws.com/photos/493220649/square.jpeg,,6
274294797,Rusty-cheeked Scimitar-Babbler,Rusty-cheeked Scimitar-Babbler,2025-04-27,"33.73169709,73.05481878",https://inaturalist-open-data.s3.amazonaws.com/photos/493156116/square.jpeg,,5
274014069,Common Three-Ring,Common Three-ring,2025-04-25,"33.7461466483,73.0860960455",https://static.inaturalist.org/photos/492686888/square.jpg,,1
274007366,Orange Oakleaf,Orange Oakleaf,2025-04-25,"33.7460638217,73.085940793",https://static.inaturalist.org/photos/492674871/square.jpg,,5
273615292,Rhesus Macaque,Rhesus Macaque,2025-04-12,"33.7479208165,73.0855936259",https://inaturalist-open-data.s3.amazonaws.com/photos/492073966/square.jpeg,,25
